No.,FAM,ROD,DRUH,LOKALITA,STATE/PROV,ZEME,CMP,DEN_POC,MES_POC,ROK_POC,DEN_KON,MES_KON,ROK_KON,POCET_M,POCET_F,POCET_TOT,BIOTOP,METRU_OD,METRU_DO,METODA_SB,LEG,COLL,DET,ROK,REV,ROK,ZDROJ,POZN.,N/S,E/W
8013,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,25,5,1973,,,,2,4,6,,,,,K. Majer,Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11212,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,10,5,1973,,,,4,2,6,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11213,Silphidae,Thanatophilus,sinuatus,Olomouc-Svatý Kopeček,Moravia,Czech Republic,,25,5,1973,,,,5,1,6,,,,,K. Majer,coll. K. Majer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
12302,Silphidae,Thanatophilus,sinuatus,Unhošť,Bohemia,Czech Republic,,6,4,1974,,,,1,,1,,,,,P. Werner,Z. Jindra,J. Růžička,2005,,,Sil7,,,
24145,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Týnec nad Labem",Bohemia,Czech Republic,5958,8,8,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24146,Silphidae,Thanatophilus,sinuatus,Pavlovské vrchy Hills,Moravia,Czech Republic,7165,5,4,1974,,,,,1,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24148,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Žehuň",Bohemia,Czech Republic,5857,23,3,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24151,Silphidae,Thanatophilus,sinuatus,"Pavlovské vrchy Hills, Děvín Hill",Moravia,Czech Republic,7165,5,4,1974,,,,,1,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
24152,Silphidae,Thanatophilus,sinuatus,"Polabí Lowland, Chlumec nad Cidlinou",Bohemia,Czech Republic,5858,21,7,1974,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
12313,Silphidae,Thanatophilus,sinuatus,Uherský Brod,Moravia,Czech Republic,6971,22,4,1974,,,,1,1,2,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil7,,,
24144,Silphidae,Thanatophilus,sinuatus,"Pavlovské vrchy Hills, Děvín Hill",Moravia,Czech Republic,7165,12,4,1974,,,,1,1,2,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
7081,Silphidae,Thanatophilus,sinuatus,Brná,Bohemia,Czech Republic,,1,8,1975,,,,1,,1,,,,,V. Vysoký,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
9098,Silphidae,Thanatophilus,sinuatus,Šumava Mts.-Mrtvý luh,Bohemia,Czech Republic,,21,5,1975,,,,1,,1,,,,,K. Deneš,J. Snížek,J. Růžička,1995,,,Sil1,dispar = Deneš det.,,
11222,Silphidae,Thanatophilus,sinuatus,"Sedlec env., ""Vlčí lesík""",Moravia,Czech Republic,,28,5,1975,,,,1,,1,,186,200,,L. Pospíšilová,Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,9/75,,
12281,Silphidae,Thanatophilus,sinuatus,"Plzeň env., Ledce",Bohemia,Czech Republic,,1,5,1975,,,,,1,1,,,,,Benedikt,V. Benedikt,J. Růžička,2003,,,Sil7,,,
11238,Silphidae,Thanatophilus,sinuatus,Holice v Čechách,Bohemia,Czech Republic,,2,5,1975,,,,1,1,2,,,,,A. Hamet,A. Hamet,M. Trýzna ,-,J. Růžička,2003,Sil5,,,
15723,Silphidae,Thanatophilus,sinuatus,Hrušovany nad Jevišovkou,Moravia,Czech Republic,7164,3,5,1976,,,,1,,1,,,,,F. Kobylák,Jihomoravské muzeum ve Znojmě,J. Růžička,2007,,,Sil9,,,
7082,Silphidae,Thanatophilus,sinuatus,"Mladá Boleslav env., Bradlec",Bohemia,Czech Republic,,29,4,1977,,,,1,,1,,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
7084,Silphidae,Thanatophilus,sinuatus,Mladá Boleslav,Bohemia,Czech Republic,,3,8,1977,,,,,1,1,alluvium of Jizera,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,teneral,,
12282,Silphidae,Thanatophilus,sinuatus,Mutěnice,Moravia,Czech Republic,,10,5,1977,,,,1,,1,,,,,Benedikt,V. Benedikt,J. Růžička,2003,,,Sil7,,,
11175,Silphidae,Thanatophilus,sinuatus,Dolní Cetno,Bohemia,Czech Republic,5554,12,7,1979,,,,1,,1,,,,,Soustružník,V. Týr,J. Růžička,1999,,,Sil5,,,
11176,Silphidae,Thanatophilus,sinuatus,Praha-Troja,Bohemia,Czech Republic,5852,8,6,1979,,,,1,,1,,,,,Soustružník,V. Týr,J. Růžička,1999,,,Sil5,,,
24085,Silphidae,Thanatophilus,sinuatus,"Hrubý Jeseník Mts., Sobotín env.",Moravia,Czech Republic,5968,27,5,1979,,,,1,1,2,,700,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
12304,Silphidae,Thanatophilus,sinuatus,"Teplice env., Dubí",Bohemia,Czech Republic,,28,7,1980,,,,,1,1,,,,,P. Štourač,P. Štourač,J. Růžička,2005,,,Sil7,,,
12316,Silphidae,Thanatophilus,sinuatus,Uherský Brod,Moravia,Czech Republic,6971,25,7,1981,,,,,1,1,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil7,,,
8205,Silphidae,Thanatophilus,sinuatus,Doupov-Březina,Bohemia,Czech Republic,,28,5,1982,,,,1,,1,,,,,M. Kuboň,M. Kuboň,J. Růžička,1993,,,Sil1,,,
12291,Silphidae,Thanatophilus,sinuatus,Starkoč,Bohemia,Czech Republic,,15,5,1982,,,,,1,1,,,,,J. Moravec,J. Moravec,J. Růžička,2003,,,Sil7,,,
10176,Silphidae,Thanatophilus,sinuatus,"Břeclav env., Strachotín",Moravia,Czech Republic,,5,6,1982,,,,1,2,3,,,,,P. Zahradník,P. Zahradník,J. Růžička,1989,,,Sil3,,,
10122,Silphidae,Thanatophilus,sinuatus,Sázava,Bohemia,Czech Republic,,9,5,1983,,,,1,,1,,,,,M. Janata,J. Růžička,J. Růžička,1989,,,Sil3,,,
11228,Silphidae,Thanatophilus,sinuatus,"Mladá Boleslav env., Horní Strakory",Bohemia,Czech Republic,,30,4,1983,,,,1,,1,,,,,M. Zúber,M. Trýzna,J. Schneider,2002,,,Sil5,,,
11242,Silphidae,Thanatophilus,sinuatus,Police nad Metují,Bohemia,Czech Republic,,24,6,1983,,,,,1,1,,,,,Z. Vancl, Z. Vancl,J. Růžička,2003,,,Sil5,,,
13502,Silphidae,Thanatophilus,sinuatus,"Mladá Boleslav env., Horní Strakory",Bohemia,Czech Republic,,30,4,1983,,,,1,,1,,,,,M. Zúber,M. Trýzna,J. Růžička,2005,,,Sil8,,,
10120,Silphidae,Thanatophilus,sinuatus,Sázava,Bohemia,Czech Republic,,6,5,1983,,,,1,1,2,,,,,M. Janata,J. Růžička,J. Růžička,1989,,,Sil3,,,
10121,Silphidae,Thanatophilus,sinuatus,Sázava,Bohemia,Czech Republic,,23,4,1983,,,,2,,2,,,,,M. Janata,J. Růžička,J. Růžička,1989,,,Sil3,,,
10123,Silphidae,Thanatophilus,sinuatus,Sázava,Bohemia,Czech Republic,,6,5,1984,,,,,1,1,,,,,M. Janata,J. Růžička,J. Růžička,1989,,,Sil3,,,
23359,Silphidae,Thanatophilus,sinuatus,"Vlašim env., Nové Mlýny",Bohemia,Czech Republic,,11,8,1984,,,,1,,1,,,,,J. Růžička,Z. Švec (Praha),J. Růžička,2016,,,PC,,,
12312,Silphidae,Thanatophilus,sinuatus,Prysk,Bohemia,Czech Republic,,16,5,1984,,,,4,1,5,,,,,J. Lebduška,M. Trýzna,J. Růžička,2005,,,Sil7,,,
11241,Silphidae,Thanatophilus,sinuatus,Police nad Metují,Bohemia,Czech Republic,,5,8,1984,,,,2,6,8,,,,,Z. Vancl, Z. Vancl,J. Růžička,2003,,,Sil5,,,
9108,Silphidae,Thanatophilus,sinuatus,Mikulov,Moravia,Czech Republic,,21,4,1985,,,,1,,1,,,,,J. Prouza,J. Prouza,J. Růžička,1995,,,Sil1,,,
9905,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,,4,6,1985,,,,1,,1,,,,,R. Červenka,J. Schneider,J. Růžička,1988,,,Sil3,,,
12290,Silphidae,Thanatophilus,sinuatus,Seč,Bohemia,Czech Republic,,12,8,1985,,,,,1,1,,,,,J. Moravec,J. Moravec,J. Růžička,2003,,,Sil7,,,
9103,Silphidae,Thanatophilus,sinuatus,Plešovice-Kleť Mt.,Bohemia,Czech Republic,,30,8,1986,,,,,1,1,,,,,V. Mikuda,V. Mikuda,J. Růžička,1995,,,Sil1,,,
10167,Silphidae,Thanatophilus,sinuatus,Mladá Boleslav,Bohemia,Czech Republic,,10,8,1986,,,,,1,1,"field, cadaver Felis",,,,O. Nedvěd,O. Nedvěd,J. Růžička,1989,,,Sil3,,,
12300,Silphidae,Thanatophilus,sinuatus,Praha-Troja,Bohemia,Czech Republic,5852,18,5,1986,,,,,1,1,,,,,Z. Jindra,Z. Jindra,M. Trýzna ,-,J. Růžička,2005,Sil7,,,
11169,Silphidae,Thanatophilus,sinuatus,Lásenice,Bohemia,Czech Republic,6955,1,8,1986,,,,2,,2,,,,,D. Boukal,D. Boukal,J. Růžička,1997,,,Sil5,,,
9903,Silphidae,Thanatophilus,sinuatus,Pavlovské vrchy Hills,Moravia,Czech Republic,,28,3,1987,,,,1,,1,,,,,R. Červenka,J. Schneider,J. Růžička,1988,,,Sil3,month hard to read - 5?,,
9904,Silphidae,Thanatophilus,sinuatus,Čelákovice,Bohemia,Czech Republic, ,9,5,1987,,,,1,,1,,,,,R. Červenka,J. Schneider,J. Růžička,1988,,,Sil3,,,
12293,Silphidae,Thanatophilus,sinuatus,Opava,Moravia,Czech Republic,,13,6,1987,,,,1,,1,,,,,O. Malinka,Z. Malinka,J. Růžička,2004,,,Sil7,,,
11170,Silphidae,Thanatophilus,sinuatus,Lásenice,Bohemia,Czech Republic,6955,7,8,1988,,,,1,,1,,,,,D. Boukal,D. Boukal,J. Růžička,1997,,,Sil5,,,
12315,Silphidae,Thanatophilus,sinuatus,Bzenec-přívoz Ferry,Moravia,Czech Republic,7069,29,5,1988,,,,,1,1,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil7,,,
13488,Silphidae,Thanatophilus,sinuatus,Bzenec-přívoz Ferry,Moravia,Czech Republic,7069,8,8,1988,,,,1,,1,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil8,,,
13492,Silphidae,Thanatophilus,sinuatus,Malá Vrbka,Moravia,Czech Republic,7170,6,5,1988,,,,,1,1,,,,,P. Bezděčka,K. Resl,J. Růžička,2005,,,Sil8,,,
13491,Silphidae,Thanatophilus,sinuatus,Javorník nad Veličkou [Javorník],Moravia,Czech Republic,7171,20,4,1988,,,,1,1,2,,,,,P. Bezděčka,K. Resl,J. Růžička,2005,,,Sil8,,,
7051,Silphidae,Thanatophilus,sinuatus,Polabská nížina Lowland-Vysoká nad Labem,Bohemia,Czech Republic,,14,6,1988,,,,2,1,3,cadaver Talpa,,,,M. Mikát,M. Mikát,J. Růžička,1992,,,Sil1,,,
11192,Silphidae,Thanatophilus,sinuatus,Čejč,Moravia,Czech Republic,7067,21,6,1989,,,,1,,1,,,,,Bílý & Studničková,"Národní muzeum, Praha",J. Růžička,2002,,,Sil5,,,
11193,Silphidae,Thanatophilus,sinuatus,"Břeclav env., Pohansko",Moravia,Czech Republic,,18,10,1989,,,,1,,1,,,,,Bílý & Jelínek,"Národní muzeum, Praha",J. Růžička,2002,,,Sil5,,,
12307,Silphidae,Thanatophilus,sinuatus,Praha-Tiché údolí,Bohemia,Czech Republic,,26,4,1989,,,,,1,1,,,,,-,M. Trýzna,J. Růžička,2005,,,Sil7,,,
9073,Silphidae,Thanatophilus,sinuatus,Beskydy Mts.-Metylovická hůrka Hill,Moravia,Czech Republic,6375,8,5,1990,,,,,1,1,,400,,,T. Sitek,T. Sitek,J. Růžička,1994,,,Sil1,,,
13489,Silphidae,Thanatophilus,sinuatus,Slavkovský les Protected Landscape Area-Krásno,Bohemia,Czech Republic,5842,30,4,1990,,,,1,,1,,,,,K. Resl,K. Resl,J. Růžička,2005,,,Sil8,,,
15727,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,,23,5,1990,,,,2,,2,,,,,J. Hájek,"coll. J. Hájek in Národní muzeum, Praha",J. Růžička,2007,,,Sil9,,,
7998,Silphidae,Thanatophilus,sinuatus,Choťovice,Bohemia,Czech Republic,,13,4,1991,,,,1,,1,,,,,J. Krátký,J. Krátký,J. Růžička,1995,,,Sil1,,,
9077,Silphidae,Thanatophilus,sinuatus,Blíževedly,Bohemia,Czech Republic,,1,7,1991,,,,,1,1,,,,,M. Jaroš,M. Jaroš,J. Růžička,1994,,,Sil1,,,
11166,Silphidae,Thanatophilus,sinuatus,Vysoká nad Labem,Bohemia,Czech Republic,5860,30,5,1991,,,,1,,1,,,,,M. Mikát,M. Mikát,J. Růžička,1997,,,Sil5,,,
23333,Silphidae,Thanatophilus,sinuatus,"Podyjí Nat. Park, Popice",Moravia,Czech Republic,7162,14,7,1991,,,,1,,1,,,,,Jaroslav Jelínek,Jaroslav Jelínek (Choceň),J. Růžička,2016,,,PC,,,
8028,Silphidae,Thanatophilus,sinuatus,Vernířovice,Moravia,Czech Republic,,23,8,1991,,,,,2,2,,,,,J. Krátký,J. Krátký,J. Růžička,1995,,,Sil1,,,
9075,Silphidae,Thanatophilus,sinuatus,"Kolín env., Velký Osek",Bohemia,Czech Republic,,18,5,1992,,,,1,,1,,,,,V. Vrabec,V. Vrabec,J. Růžička,1994,,,Sil1,,,
9078,Silphidae,Thanatophilus,sinuatus,"Luže env., Štěnec",Bohemia,Czech Republic,,12,9,1992,,,,,1,1,,,,,S. Laibner,S. Laibner,J. Růžička,1994,,,Sil1,,,
12303,Silphidae,Thanatophilus,sinuatus,Praha-Troja,Bohemia,Czech Republic,5852,27,9,1992,,,,,1,1,"steppe hillside, under Calluna", ,,,P. Štourač,P. Štourač,J. Růžička,2005,,,Sil7,,,
9099,Silphidae,Thanatophilus,sinuatus,"České Budějovice env., Šalmanovice",Bohemia,Czech Republic,,7,5,1993,,,,1,,1,,,,,M. Snížek,M. Snížek,J. Růžička,1995,,,Sil1,,,
9101,Silphidae,Thanatophilus,sinuatus,"Znojmo env., Popice",Moravia,Czech Republic,,5,6,1993,,,,,1,1,,,,,M. Snížek,M. Snížek,J. Růžička,1995,,,Sil1,,,
11239,Silphidae,Thanatophilus,sinuatus,Šumava Mts.-Lbín,Bohemia,Czech Republic,,2,6,1993,,,,,1,1,,,,,A. Hamet,A. Hamet,M. Trýzna ,-,J. Růžička,2003,Sil5,,,
9074,Silphidae,Thanatophilus,sinuatus,Beskydy Mts.-Metylovická hůrka Hill,Moravia,Czech Republic,6375,24,7,1993,,,,2,,2,,400,,,T. Sitek,T. Sitek,J. Růžička,1994,,,Sil1,,,
9082,Silphidae,Thanatophilus,sinuatus,Libavá env.,Moravia,Czech Republic,,24,7,1993,,,,1,3,4,bovine bone,,,,Z. Malinka,Z. Malinka,J. Růžička,1995,,,Sil1,,,
9079,Silphidae,Thanatophilus,sinuatus,Polabí Region-Milovice,Bohemia,Czech Republic,,3,8,1994,,,,1,,1,,,,,Rejsek,Rejsek,J. Růžička,1994,,,Sil1,,,
9080,Silphidae,Thanatophilus,sinuatus,Polabí Region-Milovice,Bohemia,Czech Republic,,27,7,1994,,,,,1,1,,,,,Rejsek,Rejsek,J. Růžička,1994,,,Sil1,,,
9081,Silphidae,Thanatophilus,sinuatus,Polabí Region-Milovice,Bohemia,Czech Republic,,2,6,1994,,,,1,,1,,,,,Rejsek,Rejsek,J. Růžička,1994,,,Sil1,,,
9105,Silphidae,Thanatophilus,sinuatus,Hluboká nad Vltavou,Bohemia,Czech Republic,,7,5,1994,,,,1,,1,,,,,A. Holub,A. Holub,J. Růžička,1995,,,Sil1,,,
22018,Silphidae,Thanatophilus,sinuatus,Vsetín-Jasenice,Moravia,Czech Republic,,25,5,1994,,,,1,,1,,,,,O. Konvička,O. Konvička (Zlín),J. Růžička,2014,,,PC,,,
23287,Silphidae,Thanatophilus,sinuatus,"Choceň env., Darebnice",Bohemia,Czech Republic,5963,5,5,1994,,,,,1,1,,,,,Jaroslav Jelínek,Jaroslav Jelínek (Choceň),J. Růžička,2016,,,PC,,,
23288,Silphidae,Thanatophilus,sinuatus,"Choceň env., Darebnice",Bohemia,Czech Republic,5963,23,4,1994,,,,1,,1,,,,,Jaroslav Jelínek,Jaroslav Jelínek (Choceň),J. Růžička,2016,,,PC,,,
9100,Silphidae,Thanatophilus,sinuatus,Pouzdřany,Moravia,Czech Republic,,21,5,1994,,,,1,1,2,,,,,M. Snížek,M. Snížek,J. Růžička,1995,,,Sil1,,,
8026,Silphidae,Thanatophilus,sinuatus,Jizerské hory Mts.-Rašeliniště Jizery National Nature Reserve,Bohemia,Czech Republic,,5,8,1994,,,,1,2,3,open area,830,,pitfall trap,P. Vonička,P. Vonička,J. Růžička,1995,,,Sil1,,,
24155,Silphidae,Thanatophilus,sinuatus,Velký Osek,Bohemia,Czech Republic,5957,24,7,1994,,,,5,,5,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
9113,Silphidae,Thanatophilus,sinuatus,Krkonoše Mts.-Obří důl Valley,Bohemia,Czech Republic,,6,7,1995,,,,,1,1,,,,,L. Daněk,L. Daněk,J. Růžička,1996,,,Sil1,,,
11235,Silphidae,Thanatophilus,sinuatus,"Znojmo env., Popice env., Sealsfieldův kámen",Moravia,Czech Republic,,8,5,1995,,,,1,,1,,,,,A. Reiter,M. Škorpík,J. Růžička,2002,,,Sil5,,,
12306,Silphidae,Thanatophilus,sinuatus,"Praha env., Ondřejov",Bohemia,Czech Republic,,29,7,1995,,,,,1,1,forest path,,,,P. Štourač,P. Štourač,J. Růžička,2005,,,Sil7,,,
23289,Silphidae,Thanatophilus,sinuatus,Újezd u Chocně,Bohemia,Czech Republic,5962,28,6,1995,,,,,1,1,sandpit,,,,Jaroslav Jelínek,Jaroslav Jelínek (Choceň),J. Růžička,2016,,,PC,,,
11173,Silphidae,Thanatophilus,sinuatus,Praha-ZOO,Bohemia,Czech Republic,,19,5,1995,,,,3,,3,excrements of Panthera Tigris, ,,individually,M. Drdová,M. Drdová,J. Růžička,1998,,,Sil5,clo. D. Král dipl,,
11234,Silphidae,Thanatophilus,sinuatus,Lukov-Gáliš,Moravia,Czech Republic,,14,9,1995,,,,3,,3,,,,,A. Reiter,M. Škorpík,J. Růžička,2002,,,Sil5,,,
11152,Silphidae,Thanatophilus,sinuatus,"Nepomuk env., Kotouň",Bohemia,Czech Republic,6548,18,8,1996,,,,,1,1,,,,,J. Kohout,J. Kohout,J. Růžička,1996,,,Sil5,,,
11233,Silphidae,Thanatophilus,sinuatus,"Znojmo env., Cínová hora",Moravia,Czech Republic,,2,5,1996,,,,1,,1,,,,,M. Škorpík,M. Škorpík,J. Růžička,2002,,,Sil5,,,
12283,Silphidae,Thanatophilus,sinuatus,Lipno env.,Bohemia,Czech Republic,6244–6245,8,5,1996,,,,1,,1,slopes over Mže River,,,,S. Benedikt,V. Benedikt,J. Růžička,2003,,,Sil7,,,
15719,Silphidae,Thanatophilus,sinuatus,"České Budějovice env., Homole",Bohemia,Czech Republic,7052,21,5,1996,,,,,1,1,,,,,K. Křivan,V. Křivan,J. Růžička,2007,,,Sil9,319,,
11155,Silphidae,Thanatophilus,sinuatus,Roudnice nad Labem,Bohemia,Czech Republic,5551,18,6,1996,,,,,2,2,,,,,J. Kohout,J. Kohout,J. Růžička,1996,,,Sil5,,,
11167,Silphidae,Thanatophilus,sinuatus,Český Krumlov,Bohemia,Czech Republic,7151,26,9,1996,,,,4,2,6,,,,,A. Holub,A. Holub,J. Růžička,1997,,,Sil5,,,
11168,Silphidae,Thanatophilus,sinuatus,Bzenec-přívoz Ferry,Moravia,Czech Republic,7069,8,5,1997,,,,,1,1,,,,,A. Holub,A. Holub,J. Růžička,1997,,,Sil5,,,
13530,Silphidae,Thanatophilus,sinuatus,Kleť,Bohemia,Czech Republic,,11,5,1997,,,,1,,1,,,,,V. Křivan,V. Křivan,J. Růžička,2007,,,Sil8,995,,
11172,Silphidae,Thanatophilus,sinuatus,"Vyšší Brod env., Kapličky",Bohemia,Czech Republic,,6,10,1997,,,,2,,2,,,,,M. Snížek,M. Snížek,J. Růžička,1997,,,Sil5,,,
11181,Silphidae,Thanatophilus,sinuatus,Jizerské hory Mts.-Janov nad Nisou-lom Hraničná Quarry,Bohemia,Czech Republic,5256,5,6,1998,,,,1,,1,quarry,600,,,P. Vonička,P. Vonička,J. Růžička,2000,,,Sil5,,,
12279,Silphidae,Thanatophilus,sinuatus,"Břeclav env., Pohansko env., Dyje River",Moravia,Czech Republic,,29,5,1998,,,,1,,1,,,,,M. Horsák,M. Horsák,J. Růžička,2003,,,Sil7,,,
13515,Silphidae,Thanatophilus,sinuatus,"Šluknov env., Rožanov",Bohemia,Czech Republic,,12,6,1998,,,,1,,1,,,,,Z. Lust,Z. Lust,J. Růžička,2005,,,Sil8,,,
11232,Silphidae,Thanatophilus,sinuatus,"Znojmo env., Popice",Moravia,Czech Republic,,17,4,1998,,,,2,,2,,,,,M. Škorpík,M. Škorpík,J. Růžička,2002,,,Sil5,,,
11180,Silphidae,Thanatophilus,sinuatus,Bílčice,Moravia,Czech Republic,6171,20,8,1999,,,,1,,1,,,,,M. Fikáček,"M. Fikáček, Ostrava",J. Růžička,2000,,,Sil5,,,
12280,Silphidae,Thanatophilus,sinuatus,"Rebešovice env., Velké Družďavy Nature Monument",Moravia,Czech Republic,,2,4,1999,,,,1,,1,,,,,"Horsák, Kment & Nerudová",M. Horsák,J. Růžička,2003,,,Sil7,,,
12289,Silphidae,Thanatophilus,sinuatus,"Hazmburk env., Slatina",Bohemia,Czech Republic,5550,27,3,1999,,,,1,,1,,,,,M. Jaroš,M. Jaroš,J. Růžička,2003,,,Sil7,,,
14837,,Thanatophilus,sinuatus,Hluboká nad Vltavou,Bohemia,Czech Republic,,4,6,1999,,,,1,,1,,,,,F. Houška,F. Houška,J. Růžička,2008,,,PC,,,
14838,,Thanatophilus,sinuatus,Hluboká nad Vltavou,Bohemia,Czech Republic,,12,5,1999,,,,1,,1,,,,,F. Houška,F. Houška,J. Růžička,2008,,,PC,,,
13522,Silphidae,Thanatophilus,sinuatus,"Šluknov env., Harrachov ",Bohemia,Czech Republic,,18,5,1999,,,,2,,2,quarry,,,,L. Blažej,L. Blažej,J. Růžička,2005,,,Sil8,,,
11188,Silphidae,Thanatophilus,sinuatus,"Frahelž env., Naděje Pond",Bohemia,Czech Republic,6854,30,4,2000,,,,,1,1,,,,,A. Holub,A. Holub,J. Růžička,2002,,,Sil5,,,
11225,Silphidae,Thanatophilus,sinuatus,Víska,Moravia,Czech Republic,6268,20,9,2000,,,,1,,1,cadaver,,,,O. Nakládal,O. Nakládal,J. Růžička,2002,,,Sil5,,,
11226,Silphidae,Thanatophilus,sinuatus,Víska,Moravia,Czech Republic,6268,23,4,2000,,,,1,,1,,,,,O. Nakládal,O. Nakládal,J. Růžička,2002,,,Sil5,,,
12286,Silphidae,Thanatophilus,sinuatus,"Jihlava env., Borovinka Pond env.",Moravia,Czech Republic,6559,1,7,2000,,,,,1,1,,,,,P. Komzák,P. Komzák,J. Růžička,2003,,,Sil7,,,
13519,Silphidae,Thanatophilus,sinuatus,"Šluknov env., Rožanov",Bohemia,Czech Republic,,30,4,2000,,,,1,,1,,,,,Z. Lust,Z. Lust,J. Růžička,2005,,,Sil8,,,
13521,Silphidae,Thanatophilus,sinuatus,"SW Šluknov env., Hrazený Hill",Bohemia,Czech Republic,,7,5,2000,,,,1,,1,,,,,Z. Lust,Z. Lust,J. Růžička,2005,,,Sil8,,,
13524,Silphidae,Thanatophilus,sinuatus,Šluknov-Tyršova ulice Street,Bohemia,Czech Republic,4952,17,5,2000,,,,1,,1,,,,,L. Blažej,L. Blažej,J. Růžička,2005,,,Sil8,,,
12285,Silphidae,Thanatophilus,sinuatus,Brno-Černovice-Ráječek env.,Moravia,Czech Republic,6865,20,4,2000,,,,2,,2,,,,,P. Komzák,P. Komzák,J. Růžička,2003,,,Sil7,,,
13523,Silphidae,Thanatophilus,sinuatus,Dolní Podluží,Bohemia,Czech Republic,5153,3,6,2000,,,,,2,2,,,,,L. Blažej,L. Blažej,J. Růžička,2005,,,Sil8,,,
14839,,Thanatophilus,sinuatus,Přední Zvonková,Bohemia,Czech Republic,,23,9,2000,,,,2,2,4,,,,,F. Houška,F. Houška,J. Růžička,2008,,,PC,,,
